iter	Logloss
0	0.6796814845
1	0.6702893441
2	0.6605119102
3	0.6494438088
4	0.6399496238
5	0.6312014331
6	0.6231261547
7	0.6159849073
8	0.6116513972
9	0.606035732
10	0.6009861916
11	0.59756648
12	0.5914627863
13	0.5872345224
14	0.5826659313
15	0.5792913879
16	0.5745878713
17	0.5727641531
18	0.5694832704
19	0.565494254
20	0.5633425002
21	0.5609505333
22	0.5599458546
23	0.5565955362
24	0.5546035027
25	0.5514881315
26	0.5482291786
27	0.5460558923
28	0.5436319076
29	0.5408878891
30	0.5392916254
31	0.538798654
32	0.5368719844
33	0.5356911288
34	0.5341134429
35	0.5318044661
36	0.5300227152
37	0.5278480211
38	0.5274596375
39	0.5265950261
40	0.52546111
41	0.5241447028
42	0.5225284168
43	0.5207061727
44	0.5198309245
45	0.5178414098
46	0.5165850053
47	0.5165504931
48	0.515096034
49	0.513556996
50	0.5128482172
51	0.5125053377
52	0.5112012714
53	0.5096682787
54	0.5093020284
55	0.5080844858
56	0.5066074733
57	0.5058644421
58	0.5047677688
59	0.5041790514
60	0.5033035588
61	0.5031526758
62	0.5022914991
63	0.5012761122
64	0.5000413052
65	0.4993004707
66	0.4989506193
67	0.4984508324
68	0.4972714536
69	0.4965336022
70	0.4960082319
71	0.4956232218
72	0.4948743471
73	0.4943369717
74	0.4934666658
75	0.4925345548
76	0.4924930372
77	0.4920081605
78	0.4911354902
79	0.4901652451
80	0.4893430952
81	0.4883680089
82	0.4875404637
83	0.4873203437
84	0.486834531
85	0.4859715073
86	0.4857322323
87	0.4853309635
88	0.4848856615
89	0.4843871285
90	0.4839567834
91	0.4832541703
92	0.4829706567
93	0.482795414
94	0.482654431
95	0.482476825
96	0.4811966561
97	0.4809755888
98	0.4805697226
99	0.4801452334
100	0.4799805394
101	0.4793040774
102	0.4790752997
103	0.4787329606
104	0.4782095727
105	0.4779223631
106	0.4775653091
107	0.477099972
108	0.4763103385
109	0.4756376312
110	0.4753969377
111	0.4751783037
112	0.4747066353
113	0.474166884
114	0.4740554423
115	0.4738576462
116	0.4730716623
117	0.4726480724
118	0.4722892082
119	0.4718386739
120	0.4715915531
121	0.4710043507
122	0.4707112669
123	0.4706316719
124	0.4703017857
125	0.469609539
126	0.4694190706
127	0.4688081451
128	0.4682214405
129	0.4677178983
130	0.4674954771
131	0.4669078719
132	0.4664794497
133	0.4659362492
134	0.4653802675
135	0.4650493369
136	0.4644810317
137	0.4641585307
138	0.4637173835
139	0.4629469832
140	0.462479352
141	0.4623077973
142	0.4622116497
143	0.4620396562
144	0.4616719262
145	0.4615570058
146	0.4611158508
147	0.4610327716
148	0.4606670858
149	0.4605731037
150	0.4600936609
151	0.4599197945
152	0.4596916672
153	0.4587898136
154	0.4581204337
155	0.4573810016
156	0.4572102138
157	0.4568407954
158	0.4564007194
159	0.4560130752
160	0.455649901
161	0.4548378076
162	0.4546847725
163	0.4543439684
164	0.4538655171
165	0.4536210543
166	0.4531149308
167	0.4524973158
168	0.4521800404
169	0.4518877215
170	0.4515738174
171	0.4511615035
172	0.4507989299
173	0.4502544511
174	0.4497996426
175	0.4493071908
176	0.4488546349
177	0.4483801667
178	0.4481269267
179	0.4478365908
180	0.4477550779
181	0.4477207542
182	0.4470821229
183	0.4467514127
184	0.4465512101
185	0.4463047405
186	0.4454075423
187	0.4449633938
188	0.4448694384
189	0.4448416912
190	0.4444987213
191	0.44442118
192	0.4440083624
193	0.4435058264
194	0.4432597013
195	0.4428384384
196	0.4427014943
197	0.442177266
198	0.4415305818
199	0.4414782511
200	0.4412728501
201	0.4408308677
202	0.4404754475
203	0.4401098009
204	0.4399791947
205	0.4398927545
